regime,delta_t_mean_s,delta_t_std_s,delta_t_median_s,delta_t_p90_s,delta_t_p95_s,delta_t_p99_s,delta_t_max_s,area_mean_m2,area_std_m2,area_median_m2,area_p90_m2,area_p95_m2,area_p99_m2,area_max_m2
ideal_hardware_ptp,6.772669570782333e-08,3.560090163552008e-08,6.357715715760639e-08,1.1616574078165429e-07,1.3292808314622769e-07,1.649697318335667e-07,2.802008273552502e-07,1.302,63.683163799025536,0.0,0.0,0.0,0.0,4200.0
realistic_control_plane_ptp,4.843348015520242e-06,2.5379695516531427e-06,4.549995345718821e-06,8.295331053601453e-06,9.489385183857908e-06,1.1828229555029617e-05,1.8492011947810456e-05,1460346.384,1483804.4751524134,997500.0,3357900.0,4407900.0,6904800.0,17280900.0
conservative_ptp_10us_ctrl_2us,1.727177762266652e-05,9.056410818439167e-06,1.620692963175209e-05,2.959936903643518e-05,3.383915319327279e-05,4.206454136202472e-05,8.294144239687688e-05,21108540.978,25589830.049304407,13131300.0,48279000.0,67101509.99999995,128593604.99999994,337682100.0
conservative_ptp_10us_ctrl_5us,1.891675450400372e-05,9.939534858180038e-06,1.7765884687199e-05,3.244744618973776e-05,3.7071118044621385e-05,4.6205662394753084e-05,7.369719192726389e-05,26297050.143,32818100.30710792,15894900.0,60295620.00000002,86126249.99999927,172305041.99999997,319561200.0
conservative_ptp_10us_ctrl_10us,2.3997296545666936e-05,1.2547381640857031e-05,2.2533017692884968e-05,4.116900363809519e-05,4.688445320392114e-05,5.8214430083321626e-05,0.000100282611052395,46775113.098,57041143.77564413,26260500.0,119891730.00000003,180084659.99999923,263811260.99999955,337682100.0
conservative_ptp_20us_ctrl_2us,3.405222722207182e-05,1.789003695884674e-05,3.1931759153427014e-05,5.843850176118508e-05,6.663042746774235e-05,8.313294415134702e-05,0.00012778166506868596,99513812.916,97828691.3837134,57949500.0,264717600.0,297405149.99999976,337682100.0,337682100.0
conservative_ptp_20us_ctrl_5us,3.485212570055899e-05,1.8242569742152517e-05,3.263871067681782e-05,5.986191411605892e-05,6.814980009045278e-05,8.459536621515634e-05,0.00013512960823173754,103688333.154,100054411.42207482,61182450.0,270241230.00000006,305697314.99999994,337682100.0,337682100.0
conservative_ptp_20us_ctrl_10us,3.781597833137826e-05,1.988353581487363e-05,3.547146977738462e-05,6.474461363234783e-05,7.402891985823519e-05,9.245725459742067e-05,0.00014737525002825813,119350881.069,107404701.5933618,76047300.0,288259020.0,320096700.0,337682100.0,337682100.0
conservative_ptp_50us_ctrl_2us,8.469003360731091e-05,4.4438897942564085e-05,7.937543851588936e-05,0.000145329974291401,0.00016572274064461864,0.00020626264793772317,0.0003538882725455485,263605678.392,108938699.51749784,332721900.0,337682100.0,337682100.0,337682100.0,337682100.0
conservative_ptp_50us_ctrl_5us,8.504617880433149e-05,4.44651881349252e-05,7.979671014993512e-05,0.0001454786944787905,0.00016606070354014587,0.00020658065493741665,0.00032349910498620125,264235616.022,108606366.1352293,335387850.0,337682100.0,337682100.0,337682100.0,337682100.0
conservative_ptp_50us_ctrl_10us,8.617341089610801e-05,4.512849570299307e-05,8.087772592437778e-05,0.00014759765066184265,0.00016843902012830044,0.0002094978631761032,0.000344264092064081,265719042.981,107725724.6372991,337682100.0,337682100.0,337682100.0,337682100.0,337682100.0
