regime,delta_t_0_s,unsync_rate_s_per_s,safe_resynchronization_interval_s,area_t0_m2,area_tmax_m2
ideal_hardware_ptp,1.649697318335667e-07,0.0,inf,0.0,0.0
ideal_hardware_ptp,1.649697318335667e-07,1e-09,9835.030268166433,0.0,71400.0
ideal_hardware_ptp,1.649697318335667e-07,5e-09,1967.0060536332867,0.0,1283100.0
ideal_hardware_ptp,1.649697318335667e-07,1e-08,983.5030268166433,0.0,5075700.0
ideal_hardware_ptp,1.649697318335667e-07,5e-08,196.7006053633287,0.0,215812800.0
ideal_hardware_ptp,1.649697318335667e-07,1e-07,98.35030268166435,0.0,337682100.0
ideal_hardware_ptp,1.649697318335667e-07,5e-07,19.67006053633287,0.0,337682100.0
ideal_hardware_ptp,1.649697318335667e-07,1e-06,9.835030268166435,0.0,337682100.0
realistic_control_plane_ptp,1.1828229555029617e-05,0.0,0.0,6904800.0,6904800.0
realistic_control_plane_ptp,1.1828229555029617e-05,1e-09,0.0,6904800.0,8135400.0
realistic_control_plane_ptp,1.1828229555029617e-05,5e-09,0.0,6904800.0,14202300.0
realistic_control_plane_ptp,1.1828229555029617e-05,1e-08,0.0,6904800.0,24538500.0
realistic_control_plane_ptp,1.1828229555029617e-05,5e-08,0.0,6904800.0,277592700.0
realistic_control_plane_ptp,1.1828229555029617e-05,1e-07,0.0,6904800.0,337682100.0
realistic_control_plane_ptp,1.1828229555029617e-05,5e-07,0.0,6904800.0,337682100.0
realistic_control_plane_ptp,1.1828229555029617e-05,1e-06,0.0,6904800.0,337682100.0
conservative_ptp_10us_ctrl_2us,4.206454136202472e-05,0.0,0.0,128593500.0,128593500.0
conservative_ptp_10us_ctrl_2us,4.206454136202472e-05,1e-09,0.0,128593500.0,138566400.0
conservative_ptp_10us_ctrl_2us,4.206454136202472e-05,5e-09,0.0,128593500.0,182351400.0
conservative_ptp_10us_ctrl_2us,4.206454136202472e-05,1e-08,0.0,128593500.0,236903100.0
conservative_ptp_10us_ctrl_2us,4.206454136202472e-05,5e-08,0.0,128593500.0,337682100.0
conservative_ptp_10us_ctrl_2us,4.206454136202472e-05,1e-07,0.0,128593500.0,337682100.0
conservative_ptp_10us_ctrl_2us,4.206454136202472e-05,5e-07,0.0,128593500.0,337682100.0
conservative_ptp_10us_ctrl_2us,4.206454136202472e-05,1e-06,0.0,128593500.0,337682100.0
conservative_ptp_10us_ctrl_5us,4.6205662394753084e-05,0.0,0.0,172305000.0,172305000.0
conservative_ptp_10us_ctrl_5us,4.6205662394753084e-05,1e-09,0.0,172305000.0,184298100.0
