regime,metric,mean_s,std_s,median_s,p05_s,p95_s
ideal_hardware_ptp,release_error_v0,9.245703830839678e-11,4.000790347180382e-08,1.4534597716159973e-10,-6.569899404076974e-08,6.590546783409066e-08
ideal_hardware_ptp,release_error_v1,2.0622079438611304e-10,4.007323662403521e-08,2.2395382782695658e-10,-6.614849068465101e-08,6.602763424958054e-08
ideal_hardware_ptp,release_error_v2,1.5243098655818832e-11,3.9971144367212394e-08,2.0579889653902515e-10,-6.608511187554044e-08,6.530194648788636e-08
ideal_hardware_ptp,delta_t_01,-1.1376375607771614e-10,5.67581212340283e-08,1.0147506156382053e-10,-9.348305475075453e-08,9.285420983238659e-08
ideal_hardware_ptp,delta_t_02,7.721393965257804e-11,5.655863312246949e-08,8.452620875102323e-11,-9.291969773468066e-08,9.324482196394995e-08
ideal_hardware_ptp,delta_t_12,1.9097769573029423e-10,5.653286705275883e-08,4.444131685360677e-11,-9.244099800094781e-08,9.343716209082187e-08
realistic_control_plane_ptp,release_error_v0,5.8807391985785284e-09,2.8628063503093427e-06,9.905336721167113e-09,-4.72471828228905e-06,4.704604520136301e-06
realistic_control_plane_ptp,release_error_v1,4.871145707433103e-09,2.8623679907919547e-06,-8.971244037692301e-10,-4.697782528042721e-06,4.725295319840566e-06
realistic_control_plane_ptp,release_error_v2,1.0917444906997798e-08,2.8638009002201408e-06,1.5585097618880584e-08,-4.686669306799465e-06,4.730916913141936e-06
realistic_control_plane_ptp,delta_t_01,1.0095934911454215e-09,4.038102942341531e-06,-4.7555907211444635e-09,-6.614316605621217e-06,6.651894755800326e-06
realistic_control_plane_ptp,delta_t_02,-5.0367057084192705e-09,4.043748362397403e-06,-1.042571141831286e-08,-6.646940050990156e-06,6.647774777809577e-06
realistic_control_plane_ptp,delta_t_12,-6.046299199564688e-09,4.054112675248159e-06,-1.7139301879932513e-08,-6.6330135589024265e-06,6.659259494345026e-06
conservative_ptp_10us_ctrl_2us,release_error_v0,2.0538984211582253e-08,1.017553124565163e-05,-1.2523108428659188e-08,-1.666848291659394e-05,1.6768112037695062e-05
conservative_ptp_10us_ctrl_2us,release_error_v1,1.7254855132154237e-08,1.0189055641536951e-05,-2.1304929557562083e-09,-1.678098326623128e-05,1.6836872218067966e-05
conservative_ptp_10us_ctrl_2us,release_error_v2,1.1060242747412395e-08,1.0227568441557883e-05,-1.810865513831205e-08,-1.680904254186981e-05,1.679894172434189e-05
conservative_ptp_10us_ctrl_2us,delta_t_01,3.28412907942802e-09,1.4404001538007096e-05,-1.2385330138204881e-08,-2.3627415073346336e-05,2.377953889821445e-05
conservative_ptp_10us_ctrl_2us,delta_t_02,9.478741464169838e-09,1.4441859024326438e-05,6.786307017134703e-10,-2.371715256570582e-05,2.3843399758744806e-05
conservative_ptp_10us_ctrl_2us,delta_t_12,6.194612384741818e-09,1.4440365330897445e-05,2.1836789605347224e-08,-2.369914947133256e-05,2.3717168298559364e-05
conservative_ptp_10us_ctrl_5us,release_error_v0,-3.44561415511497e-08,1.1189351496371713e-05,-8.008181254164832e-08,-1.8377536138140682e-05,1.834574069223388e-05
conservative_ptp_10us_ctrl_5us,release_error_v1,3.014170729702749e-08,1.121394492007241e-05,1.035190874900482e-07,-1.853159831615516e-05,1.8328420365048368e-05
conservative_ptp_10us_ctrl_5us,release_error_v2,-1.153000805352961e-08,1.1172630309862996e-05,-3.2140434549887656e-08,-1.840897729860877e-05,1.8438023979733464e-05
conservative_ptp_10us_ctrl_5us,delta_t_01,-6.45978488481772e-08,1.5824968523451373e-05,-6.655994425559292e-08,-2.6064386203464306e-05,2.596256669841579e-05
conservative_ptp_10us_ctrl_5us,delta_t_02,-2.292613349762012e-08,1.5790680915519044e-05,-3.613677331813525e-08,-2.5994133980800875e-05,2.588977800566286e-05
conservative_ptp_10us_ctrl_5us,delta_t_12,4.167171535055711e-08,1.580932569004563e-05,-2.3646054291617836e-08,-2.585610568815555e-05,2.6105618656955724e-05
conservative_ptp_10us_ctrl_10us,release_error_v0,-5.346675889309887e-08,1.4166189765671477e-05,-6.390479950928584e-08,-2.3416348326715074e-05,2.321389250807032e-05
conservative_ptp_10us_ctrl_10us,release_error_v1,-2.827156446075284e-08,1.4125599474017447e-05,-8.928435288911876e-09,-2.316502928739514e-05,2.3150697065170204e-05
conservative_ptp_10us_ctrl_10us,release_error_v2,2.1686873206545573e-08,1.414168466810767e-05,-4.799918300137337e-09,-2.3168688649439115e-05,2.3220552194603388e-05
conservative_ptp_10us_ctrl_10us,delta_t_01,-2.5195194432346005e-08,2.0034177090195086e-05,2.8854955829149036e-08,-3.2920306900589635e-05,3.2859579499615644e-05
conservative_ptp_10us_ctrl_10us,delta_t_02,-7.515363209964448e-08,2.004108688779388e-05,-9.074975351887057e-08,-3.286126584292679e-05,3.290235155913356e-05
conservative_ptp_10us_ctrl_10us,delta_t_12,-4.9958437667298426e-08,2.001184941405469e-05,-2.102785625018889e-08,-3.295112347724599e-05,3.285875320751039e-05
conservative_ptp_20us_ctrl_2us,release_error_v0,-6.44411295733988e-08,2.0077573245738395e-05,-4.411371775768815e-08,-3.3043426211127936e-05,3.309741518465488e-05
conservative_ptp_20us_ctrl_2us,release_error_v1,6.423523516134581e-08,2.0142756260796196e-05,7.625678912070439e-08,-3.301054593320751e-05,3.3190000988407624e-05
conservative_ptp_20us_ctrl_2us,release_error_v2,-2.5532083144729806e-08,2.010608661016126e-05,-5.4791020233322555e-09,-3.327788558502806e-05,3.283879736205654e-05
conservative_ptp_20us_ctrl_2us,delta_t_01,-1.2867636473474465e-07,2.8460391443903992e-05,-1.6753047622077734e-07,-4.677245641130892e-05,4.6797453873780864e-05
conservative_ptp_20us_ctrl_2us,delta_t_02,-3.890904642866905e-08,2.8373406295248426e-05,-5.5623687350653004e-08,-4.674616429985416e-05,4.673965703803413e-05
conservative_ptp_20us_ctrl_2us,delta_t_12,8.976731830607562e-08,2.853891227476741e-05,8.355027554846195e-08,-4.673922373301869e-05,4.706537912519422e-05
conservative_ptp_20us_ctrl_5us,release_error_v0,3.3293488596334186e-08,2.0640823609677057e-05,-8.528447891382575e-09,-3.378102785295083e-05,3.40391881221523e-05
conservative_ptp_20us_ctrl_5us,release_error_v1,-4.7578827318047326e-08,2.0631171186438105e-05,-8.219953027397622e-08,-3.398426349027452e-05,3.381993634005263e-05
conservative_ptp_20us_ctrl_5us,release_error_v2,-5.981342166943388e-08,2.0573728647748046e-05,5.093881353029248e-10,-3.400996851116468e-05,3.3868185800297086e-05
conservative_ptp_20us_ctrl_5us,delta_t_01,8.08723159143815e-08,2.913426029744889e-05,4.621662703219863e-08,-4.785376172254377e-05,4.8141514954868086e-05
conservative_ptp_20us_ctrl_5us,delta_t_02,9.310691026576811e-08,2.917762480352294e-05,6.235911772152772e-08,-4.760995557789738e-05,4.805485931440025e-05
