regime,sigma_b_s,sigma_ptp_s,sigma_ctrl_s,mean_s,std_s,median_s,p95_s,p99_s,max_s
ideal_hardware_ptp,0.0,4e-08,0.0,6.772669570782333e-08,3.560090163552008e-08,6.357715715760639e-08,1.3292808314622769e-07,1.649697318335667e-07,2.802008273552502e-07
realistic_control_plane_ptp,0.0,4e-08,2.86e-06,4.843348015520242e-06,2.5379695516531427e-06,4.549995345718821e-06,9.489385183857908e-06,1.1828229555029617e-05,1.8492011947810456e-05
conservative_ptp_10us_ctrl_2us,0.0,9.999999999999999e-06,2e-06,1.727177762266652e-05,9.056410818439167e-06,1.620692963175209e-05,3.383915319327279e-05,4.206454136202472e-05,8.294144239687688e-05
conservative_ptp_10us_ctrl_5us,0.0,9.999999999999999e-06,4.9999999999999996e-06,1.891675450400372e-05,9.939534858180038e-06,1.7765884687199e-05,3.7071118044621385e-05,4.6205662394753084e-05,7.369719192726389e-05
conservative_ptp_10us_ctrl_10us,0.0,9.999999999999999e-06,9.999999999999999e-06,2.3997296545666936e-05,1.2547381640857031e-05,2.2533017692884968e-05,4.688445320392114e-05,5.8214430083321626e-05,0.000100282611052395
conservative_ptp_20us_ctrl_2us,0.0,1.9999999999999998e-05,2e-06,3.405222722207182e-05,1.789003695884674e-05,3.1931759153427014e-05,6.663042746774235e-05,8.313294415134702e-05,0.00012778166506868596
conservative_ptp_20us_ctrl_5us,0.0,1.9999999999999998e-05,4.9999999999999996e-06,3.485212570055899e-05,1.8242569742152517e-05,3.263871067681782e-05,6.814980009045278e-05,8.459536621515634e-05,0.00013512960823173754
conservative_ptp_20us_ctrl_10us,0.0,1.9999999999999998e-05,9.999999999999999e-06,3.781597833137826e-05,1.988353581487363e-05,3.547146977738462e-05,7.402891985823519e-05,9.245725459742067e-05,0.00014737525002825813
conservative_ptp_50us_ctrl_2us,0.0,4.9999999999999996e-05,2e-06,8.469003360731091e-05,4.4438897942564085e-05,7.937543851588936e-05,0.00016572274064461864,0.00020626264793772317,0.0003538882725455485
conservative_ptp_50us_ctrl_5us,0.0,4.9999999999999996e-05,4.9999999999999996e-06,8.504617880433149e-05,4.44651881349252e-05,7.979671014993512e-05,0.00016606070354014587,0.00020658065493741665,0.00032349910498620125
conservative_ptp_50us_ctrl_10us,0.0,4.9999999999999996e-05,9.999999999999999e-06,8.617341089610801e-05,4.512849570299307e-05,8.087772592437778e-05,0.00016843902012830044,0.0002094978631761032,0.000344264092064081
